,Photographer,Country,Story
795,Robert Polidori,Canada,
796,Fernando Moleres,Spain,"Fernando Moleres was born in Bilbao, Spain in 1963. He began work as a nurse in his home village, traveling in 1987 to pursue that calling in Nicaragua, during the Sandinista period. It was there that Moleres began to appreciate the value of photography and to teach himself how to do it. During the early 1990s, he combined nursing work with long periods traveling and doing photo projects, such as Children at Work, which lasted several years and took him to many countries. His photos have appeared in a number of international publications, such as Stern, Le Figaro Magazine, Le Monde 2, La Republica, Io Donna, The Independent and The Sunday Times Magazine. Moleres has published two books and has had more than 20 solo exhibitions worldwide. His honors include a Picture of the Year 2011, two previous World Press Photo prizes (in 2008 and 1998), a W. Eugene Smith Grant, a Erna and Victor Hasselblad Foundation Grant, and a Lucia Award 2012 Deeper Perspectives Award, among others. Moleres is now based in Barcelona."
797,Eric Luke,Ireland,
798,Joachim Ladefoged,Denmark,
799,Kadir van Lohuizen,The Netherlands,"In the following years he worked in many conflict areas in Africa, such as Angola, Sierra Leone, Mozambique, Liberia and the DR of Congo. From 1990 to 1994 he covered the transition in South Africa from apartheid to democracy.After the collapse of the Soviet Union, Kadir covered social issues in different corners of the former empire. In 1997 he embarked on a big project to travel along the seven rivers of the world, from source to mouth, covering daily life along these lifelines. The project resulted in the book ‘Rivers’ and ‘Aderen’ (Mets & Schilt).Kadir has received numerous prizes and awards in photojournalism. In 2000 and 2002 Kadir was a jury member of the World Press Photo contest and is currently on the supervisory board of the World Press Photo foundation.In 2004 he went back to Angola, Sierra Leone and the DR of Congo to portray the diamond industry, following the diamonds from the mines to the consumer markets in the western world. The resulting exhibitions were shown in Europe and the USA, and also in the mining areas of Congo, Angola and Sierra Leone. The photo book ‘Diamond Matters, the diamond industry’ was published by Mets & Schilt (Holland), Dewi Lewis (UK) and Umbrage editions (USA) and awarded the prestigious Dutch Dick Scherpenzeel Prize for best reporting on the developing world. The project was also recognized with a World Press Photo Award.In that same year, Kadir initiated a photo project together with Stanley Greene and six other photographers on the issue of violence against women around the world.Following hurricane Katrina he made several trips to the USA to document the aftermath of the storm. In the summer of 2010, to mark the fifth commemoration of Hurricane Katrina, Kadir exhibited images of Katrina’s devastation and the aftermath in a truck-exhibition that drove from Houston to New Orleans, a project in collaboration with Stanley Greene.From 2011 to 2012, Kadir created Via PanAm; a visual investigation on migration in the Americas. He spent 12 months travelling along the Pan American Highway from Terra del Fuego in Patagonia to Deadhorse in Northern Alaska. Originally made as an interactive application for the iPad, Via PanAm was also made into a traveling interactive multimedia based exhibition, installation and a book.With the project ‘Where will we go’, Kadir looked at the global consequences of rising sea levels caused by climate change. The project is designed to highlight both the immense complexities associated with in-island and inter-island"
800,Santiago Lyon,USA,"He has over thirty years of experience in news-service photography and has won multiple photojournalism awards for his coverage of conflicts around the globe.He covered the end of the civil war in El Salvador; the U.S. invasion of Panama; the first Gulf War; the Balkan wars in Croatia, Bosnia and Kosovo; the civil war in Somalia and the Taliban takeover in Afghanistan, among other major news and sports stories around the world.He joined the Associated Press (AP) in 1991 in Cairo after previously having worked for the Spanish news agency EFE, United Press International and Reuters.Lyon served as the AP photo editor for Spain and Portugal from 1995 until 2003, when he became a Nieman fellow at Harvard University. That same year he was named director of photography at the AP, a position he held until 2016.Under his direction the AP won three Pulitzer Prizes for photography as well as numerous other major photojournalism awards around the world.Lyon serves on the Board of Directors of the Eddie Adams Workshop and is a regular participant at the yearly tuition-free workshop in upstate New York. He also teaches regularly at the International Center of Photography in New York.He was a member of the Board of Directors of the Overseas Press Club in New York and chaired its photo contest jury in 2010 and 2011.Lyon taught at the 2010 Joop Swart Masterclass organized by the World Press Photo Foundation and was Chair of the Jury for the 2013 World Press Photo contest.In 2012 he was a Sulzberger Fellow at Columbia University in New York, studying ways to enhance the value of the AP's photo output to better serve growing customer segments."
801,Massimo Sciacca,Italy,
802,Wendy Sue Lamm,USA,
803,Dudley M. Brooks,USA,
804,Aristide Economopoulos,USA,
805,Jed Jacobsohn,USA,
806,Jean-Michel Turpin,France,
807,Marc Steinmetz,Germany,
808,Silvia Izquierdo,Peru,Silvia Izquierdo is Associated Press’s (AP) Chief Photographer for Brazil.World Press Photo Involvement:Award-winning photographer 1998 Photo ContestAward-winning photographer 2020 Photo ContestSilvia Izquierdo on Social Media:
809,Michael S. Wirtz,USA,
810,Peter Dammann,Germany,
811, Shobha,Italy,
812, Oliver Meckes & Nicole Ottawa,Germany,
813,Antonin Kratochvil,Czech Republic,"Antonin Kratochvil, Czech Republic, is a founder of VII photo agency. As a photojournalist he has tackled a good deal of upheaval and human catastrophe, whilst going about his documentation of the times in which we live. His own refugee life has in many ways reflected what he has rendered on film. Over the years, Kratochvil's unconventional work has ranged from photographing Mongolian street children to a portrait session with David Bowie; from covering the war in Iraq for Fortune magazine to shooting pictures of Deborah Harry for an American Civil Liberties Union campaign. His work has appeared in a range of top-ranking international magazines and newspapers, and he has brought out five books of his own. Among his array of awards are a Lucie Award for Outstanding Achievement in Photojournalism, a Leica Medal of Excellence, and three World Press Photo first prizes."
814,Tomasz Gudzowaty,Poland,"Tomasz Gudzowaty was born in 1971 and studied law at the University of Warsaw. He began his photographic career with nature photography, later turning to social documentary. For the past few years he has focused on sports photography and is particularly interested in non-commercial sports - those that are exotic, atypical or outside the media mainstream. His photos have been published in Max magazine, L'Equipe, The Guardian, Newsweek, Time and Photo. Gudzowaty is a multiple winner of the profession's premier contests, including eight previous World Press Photo awards, as well as Pictures of the Year and NPPA Best of Photojournalism awards. He has exhibited worldwide and published several photo books. He is associated with Yours Gallery in Warsaw, where he lives, with Focus Photo und Presseagentur in Hamburg and the Stephen Bulger Gallery in Toronto."
815,Eduardo Verdugo,Chile,
816,Nicolai Fuglsig,Denmark,
817, Sung Nam-Hun,South Korea,
818,Jürgen Freund,Germany,
819,Srdjan Ilic,Serbia,
820,Dayna Smith,USA,
821,Saurabh Das,India,
822,Mike Stocker,USA,
823,Thys Dullaart,South Africa,
824,Ettore Malanca,Italy,
825,Marco Vacca,Italy,
826,Faustino Soriano,Spain,
827,Jack Picone,Australia,"Jack Picone is the recipient of several of photography’s most prestigious international awards. These include the World Press Photo Awards, the U.S. Photographer of The Year Award (POY), and the Mother Jones"
828,Stefano De Luigi,Italy,
829,Mark Power,United Kingdom,
830,Nancy Andrews,USA,
831,Rich Addicks,USA,
832,Trent Parke,Australia,
833,Roger Lemoyne,Canada,
834,Shafiqul Alam Kiron,Bangladesh,
835,Eyal Warshavsky,Israel,
836,Themba Hadebe,South Africa,
837, Kim Jae Young,South Korea,
838,Craig Golding,Australia,
839,Didier Debusschere,Canada,
840,Amel Emric,Bosnia and Herzegovina,
841,Floris Leeuwenberg,The Netherlands,
842,Michael Williamson,USA,
843,Seamus Murphy,Ireland,"Seamus Murphy's work as a photojournalist has taken him on frequent assignments to Afghanistan, but also across the world, from Iran, the Palestinian territories and Iraq, to Kenya, India, the US and more. His awards include four previous World Press Photo awards, a POYi and a W. Eugene Smith Memorial grant. Murphy's work has appeared in a range of leading international publications, such as The New York Times Magazine, The New Yorker, Time, Newsweek, National Geographic Adventure, Paris Match, Le Figaro Magazine, Stern, Geo, The Guardian Magazine, The Sunday Times Magazine, The Daily Telegraph Magazine and The Independent Magazine. His work in Afghanistan led to the book A Darkness Visible: Afghanistan."
844,Stephan Elleringmann,Germany,
845,Max Aguilera-Hellweg,USA,
846,Michael Amendolia,Australia,"Based in Sydney, Australian photographer Michael Amendolia has 27 years experience working for Australian and international magazines, newspapers and companies. His editorial clients have included Stern, Der Spiegel, and Forbes, among others. Michael received recognition at the World Press Photo Awards in the categories of Science and Technology, and the Environment in 1999, 2001 and 2003.He was the principal photographer for the book Seeing is Believing, based on the work of one of Australia’s great humanitarians, Professor Fred Hollows. Over the course of the last twenty years Michael has documented the progressing work of Nepalese ophthalmic visionary Dr. Sanduk Ruit all across Asia. Michael is one of four founding members of the Bi-Annual REPORTAGE festival that started in 1999 and continues to this day."
847,Yuri Kozyrev,Russia,"Yuri Kozyrev was born in Russia in 1963 and has worked as a photojournalist for the past 20 years, covering every major conflict in the former Soviet Union, including two Chechen wars. Immediately after 11 September 2001, he was on the scene in Afghanistan, where he documented the fall of the Taliban."
848,Jan Dago,Denmark,"Jan Dago was born and grew up in Denmark, where a childhood interest in visual expression began. At first, he made short movies, but the power of the still image gripped him more. Eventually, photojournalism—particularly that exploring the human aspect in a story—became his main focus."
849,Yannis Behrakis,Greece,
850,Ilkka Uimonen,Finland,
851,Enric Martí,Spain,"Enric Martí began his career as photo assistant with Agence France-Presse in Managua, Nicaragua in 1989, and then worked as local stringer for Reuters. In 1992 he moved to Sarajevo as a freelancer, later joining EPA. In 1994 he began working for The Associated Press in the Balkans, moving on to Cairo to become the AP's senior photographer for the Middle East for six years. From 2002 until 2006 he served as chief photo editor"
852,Harald Henden,Norway,
853,Olivier Boëls,France,
854,Tine Harden,Denmark,
855,Claudine Doury,France,
856,Norbert Wu,USA,
857,David W. Smith,Canada,
858,Kalpesh Lathigra,United Kingdom,
859,Zana Briski,United Kingdom,
860,Tom Pilston,United Kingdom,
861,Karl Lang,Germany,
862,Isabel Muñoz,Spain,
863, Wang Yao,China,
864,Cecilia Larrabure,Peru,
865,John Peter Hogg,South Africa,
866,Mike Abrahams,United Kingdom,
867,Robert Knoth,The Netherlands,
868,Jan Grarup,Denmark,"Grarup’s work reflects his belief in photojournalism’s role as an instrument of witness and memory to incite change, and the necessity of telling the stories of people who are rendered powerless to tell their own.His images of the Rwandan and Darfur genocides provide incontrovertible evidence of unthinkable human brutality, in the hope that such events will never happen or be allowed to happen again. His work, The Boys from Ramallah and The Boys from Hebron, covers both sides of the Intifada expressed through the lives of children coming of age amidst the violence. Grarup’s work takes the viewer to the limits of human despair, dignity, suffering and hope. His images are relevant to us all, because they form a chronicle of the time in which we live, but at times do not dare to recognize.Grarup has been honored with many of the most prestigious awards from the photography industry and human rights organizations,including: Eight World Press Photo awards, UNICEF, W. Eugene Smith Foundation for Humanistic Photography, Oskar Barnack award,  POYi and NPPA. In 2005, he was awarded with a Visa d’Or at the Visa Pour l’Image photo festival in France, for his coverage of Darfur’s refugee crisis.Jan Grarup is represented by LAIF agentur in Germany, and is based in Copenhagen, Denmark"
869,Neil Libbert,United Kingdom,
870,John Stanmeyer,USA,"John Stanmeyer, born in Illinois, is a founder member of the VII photo agency.Over the last decade, Stanmeyer has worked nearly exclusively with National Geographic, producing more than 12 stories for the magazine. Between 1998 and 2008, John was a contract photographer for Time magazine, during which time he photographed the war in Afghanistan, the fight for independence in East Timor, the fall of Suharto in Indonesia, and other significant world news events. His years with Time resulted in 18 covers of the magazine.Stanmeyer has been the recipient of numerous honors, including the prestigious Robert Capa award (Overseas Press Club), Magazine Photographer of the Year (POYi), and numerous World Press, Picture of the Year and NPPA awards. In 2008, his National Geographic cover story on global malaria received a National Magazine Award, and in 2012 he was nominated for an Emmy with the VII documentary film series, 'Starved for Attention'.Stanmeyer lives with his wife, Anastasia Stanmeyer (editor of Berkshire Magazine), and their three children on a farm in the Berkshires of Western Massachusetts."
871,Aijaz Rahi,India,
872,Afrim Hajrullahu,Not Specified,Not Specified
873, Cho Sung Su,South Korea,
874,David Stewart-Smith,United Kingdom,
875,Tim Hetherington,United Kingdom,
876,Adam Pretty,Australia,"Adam Pretty is a professional sports photographer from Sydney, Australia."
877,Scott Barbour,Australia,"He has a wealth of experience from shooting for the world’s top photographic agencies all around the world. Barbour was born in Christchurch, New Zealand where he started his career as a photographer on a daily newspaper in Taranaki in 1996, before moving to a sports photography agency in Auckland.In 1999 he moved to Sydney, Australia to become a staff photographer for Allsport, which was to later become a part of Getty Images. From 2002 to 2008 he was based in London as a staff photographer for Getty Images where he  covered a wide variety of news, sports and entertainment assignments such as terrorism in the UK, Turkey and Pakistan, the 2005 Asian Tsunami, the British Royal family and the Olympic Games in Sydney and Athens.He has received numerous honours and awards including World Press Photo, Sony World Photography Awards' Sport Photographer of the Year, Pictures of the Year International POYi (x10), NPPA Best of Photojournalism (x3), and Gold Prize in the China Press Photo Contest (x3). Clients have included Nike, MTV, adidas, IMG, and Cartier among many othersScott is based in Melbourne, Australia and travels worldwide."
878,Bruno Fablet,France,
879,Eric Larson,USA,
880,Dean Sewell,Australia,
881,Claus Bjørn Larsen,Denmark,
882,Lara Solt,USA,
883,Tim Zielenbach,USA,
884,Gabriel Bouys,France,
885,Tim Georgeson,Australia,
886,Silva ,Italy,
887,John Gay,USA,
888,Nicole Ottawa,Germany,
889,Michael Adaskaveg,USA,
890,Denis Dailleux,France,"Denis Dailleux was born in 1958 in Angers, France. He has published a series of photography books all portraying Egypt, Cairo and his impressions of the revolution. His photographs have been exhibited internationally in Paris, France, Accra, Ghana, and in Siem Reap, Cambodia among other places.Dailleux has been awarded several international prizes, including the Monographies Award in 1997, the World Press Photo Award in the portraits category in 2000, the Hasselblad of the town Vevey Award in Switzerland in 2000 and the Fujifilm Award of Festival Terre d'Images to Biarritz in 2001. He is a member of Agence VU and currently lives in Cairo, Egypt, where he works as a portrait photographer."
891,Vladimir Velengurin,Russia,
892,Karel Prinsloo,Namibia,
893,Bo Thomassen,Denmark,
894,Andrés Emilio Salinero,Argentina,
895, Narelle Autio & Trent Parke,Australia,
896,Jon Hrusa,South Africa,
897,Jacqueline Mia Foster,USA,
898,Amit Shabi,Israel,
899,Lara Jo Regan,USA,
900,Haseon Park,South Korea,
901,Bruno Stevens,Belgium,
902,Julien Daniel,France,
903,Ed Kashi,USA,"Ed Kashi is a photojournalist, filmmaker and educator dedicated to documenting the social and political issues that define our times. As a member of VII Photo Agency, Kashi has been recognized for his complex imagery and its compelling rendering of the human condition. Since 2000, he has pioneered the movement to multimedia and filmmaking in photojournalism, producing the innovative Iraqi Kurdistan Flipbook, which has been shown in film festivals and museums around the world, and award-winning short films and multimedia projects on geopolitics and social issues. An eight-year project completed in 2003—Aging in America: The Years Ahead—has created one of the most extensive visual archives on aging in the United States. Along with numerous awards from World Press Photo and PoYi, UNICEF’s Photo of the Year 2010, a Prix Pictet commission in the same year, and honors from Communication Arts and American Photography, Kashi’s images have been published and exhibited worldwide.He has made seven books, including Curse of the Black Gold: 50 Years of Oil in the Niger Delta and THREE. Kashi’s latest book Photojournalisms, is a compilation of journal writings to his wife, done over a nearly 20-year period, from various locations around the world."
904, Robert Huber & Stephan Vanfleteren,Switzerland,Belgium
905,Christien Jaspars,The Netherlands,
906,T.J. Lemon,United Kingdom,
907,Fred Squillante,USA,
908,Jordis Antonia Schlösser,Germany,
909,Antonio Zazueta Olmos,Mexico,
910,Reinhard Krause,Germany,
911,Angelo Turetta,Italy,
912,Matias Costa,Argentina,
913,Thomas Coex,France,
914,Thomas Dworzak,Germany,
915,Suhaib Salem,Palestinian Territories,
916,Alan Diaz,USA,
917,Yuri Shtukin,Russia,
918,Greg Baker,New Zealand,
919,Chris Keulen,The Netherlands,"He studied Dutch language and literature in Nijmegen and photography at the Royal Art Academy in The Hague. His personal documentary work deals with everyday life in the Netherlands and internationally. Keulen looks to give a place to small themes alongside major international news stories.He works on commission for NRC Handelsblad, Trouw, Geo, National Geographic, the University of Maastricht, the Province of Limburg and spends considerable time on his own projects. Since 1995, Keulen has been associated with the Dutch publications NRC Handelsblad and Trouw, while based in Maastricht.His work has been featured and published on a national and international level and has been on show three times at Visa pour l'Image in Perpignan. He won a World Press Photo first prize in Sports stories in 2000 as well as eleven prizes from the Zilveren Camera. In 2008 he published the photobook Hete Glasspinters: le Tour d'Afrique (Hot Splinters of Glass: Le Tour d'Afrique) about bicycle racing in Central Africa, which he photographed for five years. The photos were exhibited in Maastricht (Centre Ceramique), Breda (Bredaphoto), Cologne (Photokina), Emmen (buitenexpo), Perpignan (Visa pour l'image), Amsterdam (OBA), Antwerp (Persmuseum) and Brussels (Galerie Husson). He has received several grants in support of his work from the Netherlands Foundation for Visual Arts, Design and Architecture. Keulen is currently working on two projects: Maastricht Cultural Capital and the 50 years of independence in Africa. He is represented by Panos (worldwide), Laif (Germany) and Hollandse Hoogte (the Netherlands)."
920,Chris Bode,The Netherlands,
921,Dale Omori,USA,
922, David Callow & Bill Frakes,USA,
923,Christoph Gerigk,Germany,
924,Simon Norfolk,UK,"Simon has produced four major books: For Most Of It I Have No Words (1998) about the landscapes of genocide, Afghanistan: Chronotopia (2002), 'Bleed' (2005) about the war in Bosnia, and Burke + Norfolk (2011), a re-discovery and re-photographing of John Burke's nineteenth century pictures from Afghanistan. This work was exhibited at Tate Modern in London in one of the gallery’s rare solo photographic shows.Simon’s work has been widely recognized. He won the 2002 European Publishing Award, the Foreign Press Club of America Award in 2003, The 2004 Infinity Award: Photojournalism from The International Center of Photography, the 2005 Le Prix Dialogue at Les Rencontres d'Arles, a Sony World Photography award in 2012, World Press Photo awards in 2001 and 2012, and the fourth Prix Pictet Commission in 2012."
925,Bill Phelps,USA,
926, Alessandro Albert & Paolo Verzone,Italy,"Italian photographers Alessandro Albert (Turin, 1965) and Paolo Verzone (Turin, 1967) have been collaborating on projects since the 1980s. In 1992, they published together the book Volti di Passaggio with portraits taken in Moscow during the summer of 1991, which they extended in The Moscow Project (2011). For their project The Seeuropeans (2002), they made portraits along the Italian, Lithuanian, French and Finnish coasts between 1994 and 2002."
927,Ziyah Gafic,Bosnia and Herzegovina,"Ziyah Gafic was born in Sarajevo, where he studied comparative literature. Since 1999 he has travelled extensively and covered major events in more than 40 countries.Gafic’s work was exhibited at many relevant galleries and photo festivals such as: Visa pour l'Image in Perpignan, Rencontres d'Arles, and Fovea Editions in New York. His work is regularly published in some of the world's leading publications such as Time, Telegraph magazine, and Newsweek. His photo essay on Bosnia was published in the book Tales from Globalizing World by Thames & Hudson while his works are included in several overviews of contemporary photography such as Photography as Contemporary Art by Thames & Hudson and The Way People Live by Gabriel Bauret.Gafic recently completed the long-term project “Troubled Islam”."
928,David White,United Kingdom,
929,Hien Lam-Duc,France,
930,Genevieve Renson,France,
931,Mat Jacob,France,
932,Jim Lavrakas,USA,
933,Gulnara Samoilova,USA,
934,Jeff Mitchell,United Kingdom,
935,József L. Szentpéteri,Hungary,
936,Aleksander Nordahl,Norway,"Aleksander Nordahl was born in 1971 and studied at the Norwegian Institute of Journalism. He was a staff photographer at the Norwegian news agency NTB from 1992 to 1997, when he joined the staff of Dagbladet newspaper. Nordahl is currently working on Dagbladet’s Saturday magazine, producing national and international documentary stories as well as portraits and features. "
937,Tiane Doan na Champassak,France,
938, Dominic Ridley & Lorena Ros ,UK,Spain
939,Tim Dirven,Belgium,
940,Raul Rubiera,USA,
941,Michael St. Maur Sheil,Ireland,
942,Gautier Deblonde,France,
943,Fernando Marcos Ibanez,Spain,
944,Christian Keenan,United Kingdom,
945,David Guttenfelder,USA,"Guttenfelder previously spent 20 years as a photojournalist for the Associated Press based in Nairobi, Abidjan, New Delhi, and Tokyo covering news in more than 75 countries around the world.Guttenfelder helped the AP open a bureau in North Korea, the first western news agency to have an office in the otherwise-isolated country. Over the past 15 years, he has made more than 40 trips to North Korea."
946,Carlos Barria,Argentina,Chile
947,Narelle Autio,Australia,
948,Kai Wiedenhöfer,Germany,
949,Erik Refner,Denmark,"After 20 years behind the camera, Erik Refner has now devoted his career to helping photographers. He is the CEO of IDIP.Agency, an organization that finds and protects photographers' copyright on the Internet. Since 2015, he has collaborated with both image agencies and photographers to ensure image creators receives correct compensation for copyright infringements on the Internet. "
950,Tyler Hicks,USA,"Tyler Hicks is a staff photographer for The New York Times. He began working for The Times as a contract photographer in Kenya in 1999, photographing news stories in East and West Africa. After the Sept. 11 terrorist attacks, he traveled to Afghanistan for The Times and arrived in Kabul as the Northern Alliance liberated the city from Taliban control. He has returned to Afghanistan yearly and continues to document the conflict there.As a freelancer for The Times, he lived with a Kosovar family while covering the escalating conflict in the Balkans. Two years later, with the arrival of peacekeepers and an end to the conflict, he left for Africa to cover the escalating war between Eritrea and Ethiopia. Tyler graduated in 1992 with a B.A. in journalism from Boston University, where he returned in 2011 to deliver the commencement speech for the College of Communication. After graduation, he worked as a photographer’s assistant at a commercial studio in Boston and then at The Troy Daily News, a small newspaper in Ohio, where he spent a year as chief photographer. He later moved to North Carolina, where he was a staff photographer for three years at The Wilmington Star-News. During his time there, he also photographed projects in Haiti, Albania, and Kosovo. Moved by the atrocities he saw in Kosovo, he left his job to pursue a career in international news.In 2009, Tyler was a member of the team that won the Pulitzer Prize for International Reporting coverage for of Afghanistan and Pakistan. He received the Newspaper Photographer of the Year award from Pictures of the Year International for his work in 2006. In 2001, he was the recipient of the 2001 ICP Infinity Award for Photojournalism for his coverage in Afghanistan, as well as other awards, including World Press and Pictures of the Year and Visa Pour L’image in Perpignan, France. He was given the George Polk Award for Foreign Reporting in 2012, with Jeffrey Gettleman, for coverage of Somalia and the Horn of Africa.Tyler Hicks was born in São Paulo, Brazil, in 1969. He lives in Nairobi, Kenya."
951,Robert Clark,Not Specified,Not Specified
952,Richard Drew,USA,
953,Antoine Serra,France,
954,Alex Garcia,USA,
955,Jia Guorong,China,"Jia Guorong was born in China in 1954. He is a senior reporter and editorial advisory board member at China News Service (CNS). He studied the Chinese language and joined China News Service after graduating in 1983. Later, in 1986, he became a photojournalist. Jia was appointed director of CNS’ photo department in 1995. The following year, he was a correspondent in Hong Kong and Macao in 1996.  He was the chief correspondent for the agency’s Los Angeles bureau in 2004. Jia has been awarded several international awards, including China’s Sports Photography Special Prize, four China News Awards, two World Press Photo awards, and eight silver and bronze medals for the China’s Annual Photojournalism Award. In 2013, he was a judge in the annual China International Press Photo Contest.Jia has covered the floods and the Sichuan earthquake in China, the SARS crisis and Japan’s tsunami relief. "
956,Carlos Puma,USA,
957,Fred Vuich,USA,
958,Jens Rötzsch,Germany,
959,Marco Di Lauro,Italy,"Marco Di Lauro was born in Milan in 1970. He took his first photograph at the age of 14, during a vacation in Egypt. Thinking of becoming an art critic, he studied Italian literature and art history at the State University of Milan, and later enrolled in a journalism course at Boston University in Massachusetts. In 1995, he returned to Italy and obtained a diploma in photography from the European Institute of Design in Milan. Between 1990 and 1994, Di Lauro documented such issues as abused and abandoned children in India, and the poverty of the inhabitants of Peru's Andes mountains. At the same time he covered fashion shows in Milan and Paris as an assistant photographer, and worked as assistant photo editor at Magnum photos in Paris. In July 1998, he paid his own way to the Kosovo, and was on hand when the ethnic cleansing began, just months after his arrival. His pictures from the front, printed every evening in a makeshift darkroom, were taken up by The Associated Press. Di Lauro became an AP staff photographer and covered the 2000 Jubilee of the Catholic Church in Rome. He moved to the city, serving as photo editor for the Rome office. In October 2001, two weeks after the attack on Manhattan's Twin Towers, Di Lauro left on his own initiative for Afghanistan. For the second time in three years, he found himself in the right place at the right time. He was one of the first Westerners able to cover the fall of Kabul from the inside, under the fire of the troops of the Northern Alliance. In 2002, Di Lauro began working under an exclusive contract for Getty Images, covering the Middle Eastern conflict in the Gaza Strip and the invasion of Iraq. Along with his war photography, Di Lauro has covered more traditional, though no less hard-fought, clashes, such as the Palio of Siena horserace, and the battle of the oranges that breaks out every year in the city of Ivrea in Italy at Carnival time. He also has also covered religious events, such as the Easter processions in Sicily, the procession of the snake-handlers in the Town of Cocullo and the Easter Processions in Seville or the religious life in Italy and the Vatican City. Di Lauro's work has appeared in major publications worldwide, including Newsweek, Time, The New York Times Magazine, The Washington Post, GQ, Vanity Fair, The Times, The Daily Telegraph, Der Spiegel, Stern, Paris Match, Le Monde and many more. He has had solo exhibitions in Rome and Milan, and his work has formed part of group exhibitions in Europe, the US, the UK and Iran. Among Di Lauro's numerous awards is a World Press Photo prize in 2002, three PDN (Photo District News) awards, six PX3 (Prix de la Photographie Paris) prizes and a Gran Premio Nazionale di Fotografia in Italy."
960,Pietro Di Giambattista,Italy,
961,John Costello,USA,
962,Martin Sasse,Germany,
963,Stefan Boness,Germany,
964,Peter Granser,Austria,
965,Vladimir Pirogov,Russia,
966,Patrick Andrade,USA,
967,Ami Vitale,USA,"She has lived in mud huts and war zones, contracted malaria, and donned a panda suit—all in keeping with her philosophy of “living the story.”She is an Ambassador for Nikon and a contract photographer with National Geographic magazine and has garnered prestigious awards including multiple prizes from World Press Photos, the International Photographer of the Year prize, the Daniel Pearl Award for Outstanding Reporting and named Magazine Photographer of the Year by the National Press Photographers’ Association, among others.Vitale now comes home to Montana in between making films and shooting stories about the planet’s most pressing issues, including wildlife on the edge of extinction, climate change-precipitated migration, and the struggles and triumphs of the human spirit. She lectures and teaches workshops throughout the Americas, Europe, and Asia, and her work is exhibited in museums, galleries, and private collections worldwide. She is a founding member of Ripple Effect Images, a collective of scientists, writers, photographers and filmmakers with a mission of creating powerful stories illustrating the very specific issues women in developing countries face.After more than a decade covering conflict, Vitale couldn’t help but notice that the less sensational—but equally true—stories were often not getting told: the wedding happening around the corner from the revolution, triumphs amidst seemingly endless devastation. As a result, she re-committed herself to seeking out the stories within and around “the story,” and remaining independent, so that she would have the freedom to shoot what she believed deserved to be shared. ​"
968,Jackie Ranken,Australia,
969,Nick Moir,Not Specified,Not Specified
970,Carlos Spottorno,Spain,"Since then he has been pursuing his self-generated long-term projects alongside regular assignments for editorial and commercial clients.To date, he has published five photo books: History Seekers (Blur Ediciones), China Western (La Fabrica), Philosophia Naturalis (self-published), La Hora del Recreo - Break Time (Lunwerg) and The Pigs, which won the Kassel Photobook Award in 2013, was shortlisted for the Aperture Foundation Paris Photo Photobook Award in 2013, and was the only Mention of the Jury at PhotoEspana Photobook Award.Carlos has won numerous awards including the World Press Photo (2003), Yonhap International Press Photo Award (2011), and the American Photography 24, 26, 27 and 30. He was a finalist for the Visa d'Or in 2008, the European Publishers Award in 2009 and 2013, and the RM Photobook Award in 2012. He was nominated for the Magnum Emergency Fund Foundation in 2014 and was granted the Lacritique.org Award at Voies Off festival in Arles.His work has been published widely in publications such as National Geographic Espana, El Pais Semenal, D Magazine, Marie Claire France and OjodePez. His images are part of the permanent collections of Foto Colectania Foundation in Barcelona and the PhotoBook Museum in Cologne, Germany. Aside from his personal and editorial work, Carlos has shot stills and video campaigns for Nike, Vodafone, and Movistar. He also lectures and gives workshops sharing his experience in professional photography and documentary video.Carlos was born in Budapest and grew up in Rome, Paris, and Madrid."
971,Scott Lewis,USA,
972,Brenda Ann Kenneally,USA,
973,Casper Dalhoff,Denmark,
974,Mona Reeder,USA,
975,Christophe Gin,France,
976,Alexandra Boulat,France,
977,Peter Bialobrzeski,Germany,"Peter Bialobrzeski studied politics and sociology before becoming a photographer for a local paper in his native Wolfsburg, in Germany. He traveled extensively in Asia, later returning to college in Essen, and then going on to London, to do courses in photography. After having worked as a photojournalist for almost 15 years and publishing worldwide, Bialobrzeski started to focus more on personal projects. In the past eight years he has published seven books, XXXholy, Neontigers, Heimat, Lost in Transition, Paradise Now, Case Study Homes, and most recently Informal Arrangements. His work has been exhibited in Europe, USA, Asia, Africa and Australia. Bialobrzeski has won numerous awards including World Press Photo prizes in 2003 and 2010, and has sat on several contest juries, including the Otto Steinert Award in Germany in 2005 and two previous sessions of the World Press Photo jury, in 2007 and 2009. From 1998 to 1999 he was a visiting professor for photojournalism at the University of Essen. He runs workshops around the world and is a regular teacher of photography at the University of the Arts in Bremen, Germany."
978,Paolo Porto,Italy,
979,Emanuele Scorcelletti,Italy,
980,Dan Winters,USA,
981,Heidi Bradner,USA,
982,Olivier Mirguet,France,
983,Carolyn Cole,USA,
984,Hector Emanuel,Peru,
985,Georges Gobet,France,
986,Justin Sutcliffe,United Kingdom,
987,Noël Patrick Quidu,France,
988,Tomohisa Kato,Japan,
989,Andrew Buurman,United Kingdom,
990,Balazs Gardi,Hungary,
991, Robert Boguslawski & Tomasz Gudzowaty,Poland,
992,David I. Gross,USA,
993, Qi Xiaolong,China,
994,Peter Essick,USA,
995,Peter Dench,United Kingdom,
